"","x"
"641","Hsa.8080"
"642","Hsa.3098"
"643","Hsa.5142"
"644","Hsa.2301"
"645","Hsa.27592"
"646","Hsa.26883"
"647","Hsa.2007"
"648","Hsa.168"
"649","Hsa.11765"
"650","Hsa.977"
"651","Hsa.3228"
"652","Hsa.7395"
"653","Hsa.1485"
"654","Hsa.400"
"655","Hsa.19653"
"656","Hsa.2858"
"657","Hsa.845"
"658","Hsa.21160"
"659","Hsa.1668"
"660","Hsa.347"
"661","Hsa.285"
"662","Hsa.2646"
"663","Hsa.3076"
"664","Hsa.36938"
"665","Hsa.16742"
"666","Hsa.28193"
"667","Hsa.43684"
"668","Hsa.1175"
"669","Hsa.3517"
"670","Hsa.2156"
"671","Hsa.301"
"672","Hsa.3159"
"673","Hsa.1258"
"674","Hsa.3820"
"675","Hsa.7265"
"676","Hsa.1486"
"677","Hsa.37058"
"678","Hsa.2830"
"679","Hsa.2966"
"680","Hsa.10068"
"681","Hsa.16164"
"682","Hsa.10047"
"683","Hsa.6051"
"684","Hsa.1036"
"685","Hsa.1715"
"686","Hsa.1920"
"687","Hsa.12892"
"688","Hsa.1414"
"689","Hsa.2568"
"690","Hsa.2840"
"691","Hsa.36354"
"692","Hsa.14896"
"693","Hsa.978"
"694","Hsa.852"
"695","Hsa.919"
"696","Hsa.41163"
"697","Hsa.35201"
"698","Hsa.9972"
"699","Hsa.38375"
"700","Hsa.359"
"701","Hsa.3260"
"702","Hsa.109"
"703","Hsa.1522"
"704","Hsa.465"
"705","Hsa.7614"
"706","Hsa.370"
"707","Hsa.12024"
"708","Hsa.896"
"709","Hsa.12754"
"710","Hsa.43155"
"711","Hsa.2179"
"712","Hsa.17956"
"713","Hsa.15844"
"714","Hsa.3136"
"715","Hsa.44686"
"716","Hsa.733"
"717","Hsa.2843"
"718","Hsa.2149"
"719","Hsa.16100"
"720","Hsa.321"
"721","Hsa.13834"
"722","Hsa.34384"
"723","Hsa.557"
"724","Hsa.612"
"725","Hsa.1761"
"726","Hsa.1284"
"727","Hsa.44876"
"728","Hsa.2363"
"729","Hsa.2567"
"730","Hsa.37038"
"731","Hsa.154"
"732","Hsa.31933"
"733","Hsa.61"
"734","Hsa.2856"
"735","Hsa.1521"
"736","Hsa.5120"
"737","Hsa.1806"
"738","Hsa.893"
"739","Hsa.3305"
"740","Hsa.3256"
"741","Hsa.15167"
"742","Hsa.10171"
"743","Hsa.11340"
"744","Hsa.1480"
"745","Hsa.2372"
"746","Hsa.216"
"747","Hsa.2543"
"748","Hsa.3164"
"749","Hsa.21369"
"750","Hsa.1489"
"751","Hsa.741"
"752","Hsa.1502"
"753","Hsa.14360"
"754","Hsa.2317"
"755","Hsa.2634"
"756","Hsa.4251"
"757","Hsa.641"
"758","Hsa.3239"
"759","Hsa.41322"
"760","Hsa.1537"
"761","Hsa.25745"
"762","Hsa.3940"
"763","Hsa.1567"
"764","Hsa.3067"
"765","Hsa.692"
"766","Hsa.9235"
"767","Hsa.465"
"768","Hsa.2884"
"769","Hsa.2135"
"770","Hsa.1799"
"771","Hsa.17353"
"772","Hsa.2008"
"773","Hsa.22775"
"774","Hsa.3298"
"775","Hsa.964"
"776","Hsa.6048"
"777","Hsa.3274"
"778","Hsa.2985"
"779","Hsa.1726"
"780","Hsa.773"
"781","Hsa.550"
"782","Hsa.2390"
"783","Hsa.7852"
"784","Hsa.3926"
"785","Hsa.2513"
"786","Hsa.43242"
"787","Hsa.1854"
"788","Hsa.3353"
"789","Hsa.1220"
"790","Hsa.1259"
"791","Hsa.1516"
"792","Hsa.1272"
"793","Hsa.2999"
"794","Hsa.18401"
"795","Hsa.1433"
"796","Hsa.348"
"797","Hsa.3040"
"798","Hsa.695"
"799","Hsa.680"
"800","Hsa.28162"
"801","Hsa.9285"
"802","Hsa.2863"
"803","Hsa.20164"
"804","Hsa.6596"
"805","Hsa.1138"
"806","Hsa.3349"
"807","Hsa.316"
"808","Hsa.3145"
"809","Hsa.2576"
"810","Hsa.2841"
"811","Hsa.17453"
"812","Hsa.41280"
"813","Hsa.1955"
"814","Hsa.2650"
"815","Hsa.2801"
"816","Hsa.18513"
"817","Hsa.23699"
"818","Hsa.287"
"819","Hsa.8299"
"820","Hsa.3070"
"821","Hsa.25"
"822","Hsa.1131"
"823","Hsa.3099"
"824","Hsa.41280"
"825","Hsa.2342"
"826","Hsa.26920"
"827","Hsa.14842"
"828","Hsa.41116"
"829","Hsa.487"
"830","Hsa.3803"
"831","Hsa.1385"
"832","Hsa.8133"
"833","Hsa.2345"
"834","Hsa.36685"
"835","Hsa.2315"
"836","Hsa.646"
"837","Hsa.459"
"838","Hsa.12149"
"839","Hsa.8374"
"840","Hsa.2778"
"841","Hsa.2469"
"842","Hsa.2105"
"843","Hsa.884"
"844","Hsa.1216"
"845","Hsa.1071"
"846","Hsa.2955"
"847","Hsa.1694"
"848","Hsa.1512"
"849","Hsa.10516"
"850","Hsa.12893"
"851","Hsa.28186"
"852","Hsa.1698"
"853","Hsa.34914"
"854","Hsa.42738"
"855","Hsa.17030"
"856","Hsa.2769"
"857","Hsa.24279"
"858","Hsa.26719"
"859","Hsa.2925"
"860","Hsa.24048"
"861","Hsa.20524"
"862","Hsa.27738"
"863","Hsa.14453"
"864","Hsa.35518"
"865","Hsa.42204"
"866","Hsa.2700"
"867","Hsa.1724"
"868","Hsa.9153"
"869","Hsa.2238"
"870","Hsa.1219"
"871","Hsa.41169"
"872","Hsa.3154"
"873","Hsa.11932"
"874","Hsa.44397"
"875","Hsa.9025"
"876","Hsa.829"
"877","Hsa.45192"
"878","Hsa.140"
"879","Hsa.3065"
"880","Hsa.3138"
"881","Hsa.2978"
"882","Hsa.26528"
"883","Hsa.1840"
"884","Hsa.1414"
"885","Hsa.21379"
"886","Hsa.38203"
"887","Hsa.946"
"888","Hsa.45754"
"889","Hsa.26719"
"890","Hsa.3212"
"891","Hsa.14884"
"892","Hsa.2747"
"893","Hsa.895"
"894","Hsa.5532"
"895","Hsa.2654"
"896","Hsa.13023"
"897","Hsa.36952"
"898","Hsa.1375"
"899","Hsa.8983"
"900","Hsa.1294"
"901","Hsa.16505"
"902","Hsa.20324"
"903","Hsa.2047"
"904","Hsa.1015"
"905","Hsa.17595"
"906","Hsa.14885"
"907","Hsa.2089"
"908","Hsa.1676"
"909","Hsa.44036"
"910","Hsa.1317"
"911","Hsa.561"
"912","Hsa.742"
"913","Hsa.8096"
"914","Hsa.1642"
"915","Hsa.1664"
"916","Hsa.28146"
"917","Hsa.12102"
"918","Hsa.3068"
"919","Hsa.2725"
"920","Hsa.1089"
"921","Hsa.2409"
"922","Hsa.7165"
"923","Hsa.1419"
"924","Hsa.364"
"925","Hsa.116"
"926","Hsa.249"
"927","Hsa.502"
"928","Hsa.11850"
"929","Hsa.1610"
"930","Hsa.1309"
"931","Hsa.2565"
"932","Hsa.1598"
"933","Hsa.35955"
"934","Hsa.2348"
"935","Hsa.642"
"936","Hsa.57"
"937","Hsa.24829"
"938","Hsa.4919"
"939","Hsa.3278"
"940","Hsa.1177"
"941","Hsa.2120"
"942","Hsa.1798"
"943","Hsa.471"
"944","Hsa.27648"
"945","Hsa.3041"
"946","Hsa.1507"
"947","Hsa.25142"
"948","Hsa.37021"
"949","Hsa.21847"
"950","Hsa.10706"
"951","Hsa.2881"
"952","Hsa.959"
"953","Hsa.3876"
"954","Hsa.3148"
"955","Hsa.11675"
"956","Hsa.2975"
"957","Hsa.2475"
"958","Hsa.9816"
"959","Hsa.6617"
"960","Hsa.36683"
"961","Hsa.9271"
"962","Hsa.8194"
"963","Hsa.2586"
"964","Hsa.3331"
"965","Hsa.7554"
"966","Hsa.1616"
"967","Hsa.26698"
"968","Hsa.7319"
"969","Hsa.35804"
"970","Hsa.11839"
"971","Hsa.8232"
"972","Hsa.28540"
"973","Hsa.5756"
"974","Hsa.166"
"975","Hsa.2359"
"976","Hsa.25867"
"977","Hsa.2255"
"978","Hsa.2060"
"979","Hsa.37541"
"980","Hsa.447"
"981","Hsa.688"
"982","Hsa.3115"
"983","Hsa.428"
"984","Hsa.20976"
"985","Hsa.8837"
"986","Hsa.4756"
"987","Hsa.1260"
"988","Hsa.1127"
"989","Hsa.2316"
"990","Hsa.1192"
"991","Hsa.1522"
"992","Hsa.1073"
"993","Hsa.3348"
"994","Hsa.9218"
"995","Hsa.3048"
"996","Hsa.2841"
"997","Hsa.1089"
"998","Hsa.34968"
"999","Hsa.22909"
"1000","Hsa.41123"
"1001","Hsa.1138"
"1002","Hsa.1205"
"1003","Hsa.24373"
"1004","Hsa.25748"
"1005","Hsa.45732"
"1006","Hsa.1288"
"1007","Hsa.84"
"1008","Hsa.33277"
"1009","Hsa.2386"
"1010","Hsa.146"
"1011","Hsa.11628"
"1012","Hsa.275"
"1013","Hsa.33368"
"1014","Hsa.4937"
"1015","Hsa.1470"
"1016","Hsa.7646"
"1017","Hsa.1453"
"1018","Hsa.1855"
"1019","Hsa.7802"
"1020","Hsa.1802"
"1021","Hsa.2619"
"1022","Hsa.16742"
"1023","Hsa.1161"
"1024","Hsa.31801"
"1025","Hsa.3215"
"1026","Hsa.3198"
"1027","Hsa.1359"
"1028","Hsa.114"
"1029","Hsa.2274"
"1030","Hsa.44595"
"1031","Hsa.2092"
"1032","Hsa.2157"
"1033","Hsa.925"
"1034","Hsa.24290"
"1035","Hsa.26628"
"1036","Hsa.23249"
"1037","Hsa.41495"
"1038","Hsa.2986"
"1039","Hsa.717"
"1040","Hsa.179"
"1041","Hsa.27930"
"1042","Hsa.549"
"1043","Hsa.1714"
"1044","Hsa.13522"
"1045","Hsa.1554"
"1046","Hsa.602"
"1047","Hsa.1588"
"1048","Hsa.2051"
"1049","Hsa.2805"
"1050","Hsa.262"
"1051","Hsa.28840"
"1052","Hsa.168"
"1053","Hsa.13610"
"1054","Hsa.23366"
"1055","Hsa.2066"
"1056","Hsa.1973"
"1057","Hsa.41314"
"1058","Hsa.579"
"1059","Hsa.9856"
"1060","Hsa.462"
"1061","Hsa.10224"
"1062","Hsa.14"
"1063","Hsa.2503"
"1064","Hsa.1088"
"1065","Hsa.1855"
"1066","Hsa.37192"
"1067","Hsa.490"
"1068","Hsa.1147"
"1069","Hsa.1347"
"1070","Hsa.32358"
"1071","Hsa.24153"
"1072","Hsa.28800"
"1073","Hsa.40063"
"1074","Hsa.26837"
"1075","Hsa.7784"
"1076","Hsa.1043"
"1077","Hsa.3969"
"1078","Hsa.36599"
"1079","Hsa.40009"
"1080","Hsa.3203"
"1081","Hsa.33671"
"1082","Hsa.2152"
"1083","Hsa.1866"
"1084","Hsa.2974"
"1085","Hsa.1580"
"1086","Hsa.13535"
"1087","Hsa.1212"
"1088","Hsa.37075"
"1089","Hsa.123"
"1090","Hsa.1672"
"1091","Hsa.1860"
"1092","Hsa.8301"
"1093","Hsa.3888"
"1094","Hsa.24877"
"1095","Hsa.16501"
"1096","Hsa.3166"
"1097","Hsa.2558"
"1098","Hsa.6546"
"1099","Hsa.1651"
"1100","Hsa.2777"
"1101","Hsa.2868"
"1102","Hsa.1331"
"1103","Hsa.10807"
"1104","Hsa.41208"
"1105","Hsa.440"
"1106","Hsa.8131"
"1107","Hsa.1618"
"1108","Hsa.23677"
"1109","Hsa.27958"
"1110","Hsa.94"
"1111","Hsa.41338"
"1112","Hsa.25481"
"1113","Hsa.1659"
"1114","Hsa.2145"
"1115","Hsa.39753"
"1116","Hsa.8532"
"1117","Hsa.1712"
"1118","Hsa.8540"
"1119","Hsa.2610"
"1120","Hsa.1030"
"1121","Hsa.37041"
"1122","Hsa.1283"
"1123","Hsa.1467"
"1124","Hsa.2152"
"1125","Hsa.809"
"1126","Hsa.1893"
"1127","Hsa.11885"
"1128","Hsa.51"
"1129","Hsa.3410"
"1130","Hsa.43225"
"1131","Hsa.376"
"1132","Hsa.432"
"1133","Hsa.37818"
"1134","Hsa.9872"
"1135","Hsa.18321"
"1136","Hsa.3648"
"1137","Hsa.612"
"1138","Hsa.3967"
"1139","Hsa.7048"
"1140","Hsa.14976"
"1141","Hsa.2986"
"1142","Hsa.2765"
"1143","Hsa.1412"
"1144","Hsa.393"
"1145","Hsa.2101"
"1146","Hsa.32865"
"1147","Hsa.326"
"1148","Hsa.23565"
"1149","Hsa.10169"
"1150","Hsa.2609"
"1151","Hsa.3102"
"1152","Hsa.8833"
"1153","Hsa.1047"
"1154","Hsa.1325"
"1155","Hsa.27085"
"1156","Hsa.2324"
"1157","Hsa.14595"
